peritus-agent	H
peritus-app-protocol	H
peritus-approval	H
peritus-artifact-store	H
peritus-budget	V
peritus-codec	H
peritus-collaboration	H
peritus-context	H
peritus-daemon	H
peritus-debugger	H
peritus-eval	H
peritus-evidence	H
peritus-evolution	H
peritus-gates	H
peritus-git	H
peritus-harness	H
peritus-journal	H
peritus-kernel	V
peritus-leases	H
peritus-local-socket	H
peritus-mcp	H
peritus-memory	H
peritus-migrations	H
peritus-model-protocol	H
peritus-network	H
peritus-obligations	V
peritus-orchestrator	H
peritus-patch	H
peritus-plugin-host	H
peritus-plugin-sdk	H
peritus-policy	V
peritus-process	H
peritus-product-runner	H
peritus-product-state	H
peritus-projection	H
peritus-protocol	H
peritus-provider-anthropic	H
peritus-provider-compatible	H
peritus-provider-core	H
peritus-provider-google	H
peritus-provider-openai	H
peritus-quality-policy	V
peritus-release-policy	V
peritus-review	H
peritus-role	V
peritus-run-knowledge	V
peritus-run-settlement	V
peritus-sandbox	H
peritus-sandbox-linux	H
peritus-sandbox-macos	H
peritus-sandbox-windows	H
peritus-scheduler	H
peritus-secrets	H
peritus-security-policy	V
peritus-spec	V
peritus-tcb	T
peritus-telemetry	H
peritus-tool-protocol	H
peritus-tool-router	H
peritus-tools-fs	H
peritus-tools-git	H
peritus-tools-quality	H
peritus-tools-shell	H
peritus-trace	H
peritus-types	V
peritus-workspace	H
